id,name,count
40003,3 Good Health and Well Being,140
40007,7 Affordable and Clean Energy,27
40009,"9 Industry, Innovation and Infrastructure",18
40012,12 Responsible Consumption and Production,18
40004,4 Quality Education,13
40016,"16 Peace, Justice and Strong Institutions",13
40002,2 Zero Hunger,11
40013,13 Climate Action,8
40005,5 Gender Equality,6
40006,6 Clean Water and Sanitation,6
40014,14 Life Below Water,5
40015,15 Life on Land,5
40008,8 Decent Work and Economic Growth,4
40011,11 Sustainable Cities and Communities,4
40001,1 No Poverty,3
40010,10 Reduced Inequalities,3
